id	title	identifiers	flags	source_snippets
goetzmann0636	Bolivian Government Loan of 1872 Trust-Fund Certificate (London)	No. 242 | Loan of 1872 | No. 442		notes:"No. 242," · notes:"Loan 1872" · description:"No. 442,"
goetzmann0637	Bolivian Republic Fondo Público Bond, Sucre, 1846	No. 2657		notes:"No. 2657"
goetzmann0638	Bosnia-Herzegovina 5% Provincial Investment Loan Bond, Sarajevo and Vienna, 1914	No. 05,155		notes:"No. 05,155"
goetzmann0639	Bosnia-Herzegovina 4½% Railway Land Loan Bond, Sarajevo and Vienna, 1902	No. 17,496 | No. 118 | Loan of 1902		notes:"No. 17,496" · description:"No. 118" · description:"loan of 1902"
goetzmann0640	Serbian Economic Development Loan Bond	No. 0324809		notes:"No. 0324809"
goetzmann0641	Bosnia and Herzegovina Employment Loan Bond, Sarajevo, 1987	No. CC 04238717		notes:"No. CC 04238717"
goetzmann0642	Imperial Brazil Loan Conversion Circular	No. 3,329 | No. 3,396		description:"No. 3,329" · description:"Nos. 3,396"
goetzmann0643	Hungarian Kingdom Annuity Loan Bond	No. 00,919		notes:"No. 00,919"
goetzmann0644	City of Budapest Obligation	No. 135202 | Loan of 1911		notes:"No. 135202" · notes:"loan 1911"
goetzmann0645	Province of Buenos Aires Gold Loan Bond	No. 048151 | Loan of 1915		notes:"No. 048151" · notes:"Loan 1915"
goetzmann0646	Tungsram Share Certificate	No. 107,151–107,160		notes:"Nos. 107,151–107,160"
goetzmann0647	Companhia da Zambezia Provisional Share Certificate, Lisbon, 1900	Serie 1898-1900		notes:"series 1898-1900"
goetzmann0648	Principality of Bulgaria State Mortgage Loan Bond	No. 073,741–073,742 | Loan of 1892		notes:"Nos. 073,741–073,742" · notes:"Loan 1892"
goetzmann0650	Chrysler Corporation Share Certificate, Amsterdam, 1926	No. 27 | No. 40		description:"No. 27" · description:"No. 40,"
goetzmann0651	Republic of Colombia Funding Certificate	No. 5131/1882 | Loan of 1906 | Loan of 1911		notes:"No. 5131/1882" · description:"Loan of 1906" · description:"Loan of 1911"
goetzmann0652	Republic of Cuba External Gold Bond	No. F 2124		notes:"No. F 2124"
goetzmann0653	Czechoslovak State 8% Sterling Bond, Prague, 1924	No. 470 | No. 110		description:"No. 470" · description:"No. 110"
goetzmann0654	Egyptian Credit Foncier Bearer Share	No. 5,000,246		notes:"No. 5,000,246"
goetzmann0656	Bank of England Letter of Attorney for Consolidated £3 per Cent. Annuities	No. 17601		notes:"No. 17601,"
goetzmann0657	Land Bank of Estonia Mortgage Bond	No. 013136		notes:"No. 013136,"
goetzmann0658	Kingdom of Serbia 5% Gold Loan Bond, Belgrade, 1913	No. 467,139 | Loan of 1913		notes:"No. 467,139." · description:"Loan of 1913"
goetzmann0659	City of Berlin Municipal Loan Bond, Berlin, 1923	No. 15581		notes:"No. 15581,"
goetzmann0660	Kingdom of Greece 2.5% Guaranteed Gold Loan Bond, 1898	No. 43,842 | Loan of 1898		notes:"No. 43,842." · description:"Loan of 1898"
goetzmann0661	Native Guano Company Share Certificate	No. 43238		notes:"No. 43238."
goetzmann0662	Hungarian Mortgage Bank Conversion Prize Bond, Budapest, 1906	No. 77 | Serie 881		notes:"No. 77," · notes:"Serie 881,"
goetzmann0665	Principality of Bulgaria 6% Hypothecary State Loan Bond, Sophia, 1892	No. 023,156 | Loan of 1892		notes:"No. 023,156." · description:"Loan of 1892"
goetzmann0666	Principality of Bulgaria 6% Hypothecary State Loan Double Bond, Sophia, 1892	No. 069,185-069,186 | Loan of 1892		notes:"Nos. 069,185-069,186," · description:"Loan of 1892"
goetzmann0668	Imperial Russian Government Conversion Bond	No. 097530 | No. 38		notes:"No. 097530." · page:goetzmann0667:"numbered 38"
goetzmann0669	Imperial Russian Government State Loan Bond, No. 196422	No. 196422 | Loan of 1902		notes:"No. 196422." · notes:"Loan 1902"
goetzmann0673	Imperial Russian Government Noble Land Bank Mortgage Note	No. 364213		notes:"No. 364213,"
goetzmann0674	Moscow-Kiev-Voronezh Railway Bearer Bond	No. 0567359		notes:"No. 0567359."
